Faqs	Faq_Links	Views	Topics	Last_Update	Featured
How do I request that the library purchase a resource that supports my research or teaching?	https://mtu.libanswers.com/faq/110313	35	['Library Collection']	Nov 21, 2019	No
Where do I get a bound copy of my thesis or dissertation?	https://mtu.libanswers.com/faq/205164	259	NaN	Nov 21, 2019	No
What is the difference between primary and secondary sources?	https://mtu.libanswers.com/faq/145603	40	NaN	Nov 21, 2019	No
I am installing EndNote and I am being prompted for a product code, what do I do?	https://mtu.libanswers.com/faq/145260	59	NaN	Nov 21, 2019	No
Is citation management software available at Michigan Tech?	https://mtu.libanswers.com/faq/145086	40	['Citation Management']	Nov 21, 2019	No
How do I get help with citation formatting?	https://mtu.libanswers.com/faq/145081	37	NaN	Nov 21, 2019	No
Which databases does the library subscribe to?	https://mtu.libanswers.com/faq/145078	56	NaN	Nov 21, 2019	No
What is a Database?	https://mtu.libanswers.com/faq/145075	42	NaN	Nov 21, 2019	No
When is the next EndNote workshop?	https://mtu.libanswers.com/faq/144930	19	NaN	Nov 21, 2019	No
Where can I find library forms and requests for services?	https://mtu.libanswers.com/faq/144925	32	NaN	Nov 21, 2019	No
How do I get help with patent searching?	https://mtu.libanswers.com/faq/145688	30	NaN	Nov 21, 2019	No
How do I get help with copyright?	https://mtu.libanswers.com/faq/145687	33	NaN	Nov 21, 2019	No
How do I get library research help?	https://mtu.libanswers.com/faq/115661	102	['Library Research', 'Student Research Consultants (SRCs)']	Nov 21, 2019	No
How do I access full-text articles from Google Scholar?	https://mtu.libanswers.com/faq/87815	234	['Google', 'Library Research']	Nov 21, 2019	No
How do I contact a Student Research Consultant (SRC)?	https://mtu.libanswers.com/faq/144922	52	['Library Research', 'Student Research Consultants (SRCs)']	Nov 21, 2019	No
I'm writing a research paper and I'm stuck. Where can I get writing help?	https://mtu.libanswers.com/faq/145604	63	['Citation Management']	Nov 21, 2019	No
Where can I get help using EndNote?	https://mtu.libanswers.com/faq/145690	48	['Citation Management', 'Workshops']	Nov 21, 2019	No
Where is the microfilm and microfiche reader?	https://mtu.libanswers.com/faq/115660	51	['Technology']	Nov 21, 2019	No
